0.12319,0.11871,0.10097,0.10366,0.09956,0.017755,0.2595,0.020667,0.49415,-0.24594,0.73024,0.074176,22.242,990.96,995.31,25.4,24.523,24.537,21.237,21.656,46.052,28.214,2.28,0.012701
0.12297,0.1185,0.10098,0.10385,0.09956,0.0175,0.26737,0.020668,0.49417,-0.24594,0.7378,0.069078,22.242,990.96,995.31,25.401,24.527,24.537,21.237,21.649,46.068,28.214,2.2875,0.012701
0.12258,0.11836,0.10067,0.10379,0.099665,0.017679,0.23232,0.020663,0.49418,-0.24593,0.74756,0.05426,24.615,990.96,995.31,25.402,24.531,24.537,21.236,21.642,46.084,28.214,2.07,0.012701
0.12253,0.11833,0.10079,0.10363,0.099673,0.017506,0.18654,0.020648,0.49419,-0.24593,0.76174,0.068839,25.406,990.95,995.31,25.403,24.535,24.421,21.235,21.635,46.1,28.214,2.3175,0.012701
0.12286,0.11858,0.10108,0.10389,0.099637,0.017496,0.1987,0.020642,0.4942,-0.24593,0.7858,0.074486,25.406,990.95,995.31,25.404,24.539,24.382,21.235,21.628,46.116,28.214,2.1875,0.012701
0.1229,0.11854,0.10095,0.10393,0.0996,0.017592,0.15936,0.020639,0.49422,-0.24592,0.8196,0.07389,25.406,990.95,995.31,25.405,24.543,24.382,21.234,21.621,46.132,28.214,2.17,0.012701
0.12282,0.11881,0.10106,0.10385,0.099564,0.017814,0.15006,0.020629,0.49423,-0.24592,0.85244,0.073294,25.406,990.95,995.31,25.406,24.548,24.382,21.233,21.614,46.149,28.214,2.3925,0.012701
0.12322,0.11894,0.10128,0.10388,0.099528,0.01775,0.21658,0.02062,0.49424,-0.24592,0.88087,0.072699,40.579,990.95,995.31,25.408,24.552,24.382,21.233,21.607,46.165,28.214,2.4825,0.012701
0.1233,0.11898,0.10109,0.10394,0.099492,0.017914,0.24126,0.020619,0.49425,-0.24592,0.90294,0.072103,45.637,990.94,995.31,25.409,24.556,24.31,21.232,21.599,46.181,28.213,2.265,0.012701
0.12322,0.119,0.10101,0.10386,0.099456,0.01802,0.24555,0.020601,0.49427,-0.24591,0.91797,0.071507,45.637,990.94,995.32,25.41,24.56,24.286,21.232,21.592,46.197,28.213,1.995,0.012701
0.12358,0.11923,0.10117,0.10395,0.099419,0.018069,0.23483,0.02061,0.49428,-0.24591,0.93125,0.091513,45.637,990.94,995.32,25.411,24.564,24.286,21.231,21.585,46.213,28.213,2.05,0.012701
